colsample_bytree,gamma,max_depth,min_child_weight,subsample,score
0.5,0.01,2.2307212161168004,4.259540480592079,0.5,-0.10800000000000001
0.5,0.1632330040646445,4.4524511502611,4.99999999913971,0.5,-0.11066659999999999
0.49999999729337585,0.29999987159150027,8.48324140729276,2.0702417586181703,0.4999999751314204,-0.11299999999999999
0.5,0.010000060870215247,10.0,4.689271085950148,0.49999999035827236,-0.1143334
0.49999999997545647,0.3,8.060118209684422,4.37581131207645,0.4999999983571365,-0.11499999999999999
0.5,0.3,1.1755869840560935,2.3737427543015253,0.5,-0.11533339999999999
0.49999999624872393,0.01,9.014707491241802,0.5,0.1,-0.11699999999999999
0.4761446043297115,0.27503374113654394,9.841736848951564,0.50819339803007,0.45237540396709686,-0.1176666
0.01,0.29999999802609373,1.0,0.5000000076376117,0.49999999944565776,-0.1203332
0.01,0.01,1.0,4.999999995812032,0.5,-0.12133340000000001
0.49999999999998457,0.3,2.745931566555239,0.7892231300063959,0.5,-0.122
0.5,0.3,1.1182225277908815,5.0,0.5,-0.12366680000000001
0.49999999999998657,0.29999999999998506,9.999999999999991,2.1308207831319943,0.1,-0.1253332
0.5,0.3,1.0,0.5,0.1,-0.1256664
0.010748233993490437,0.3,9.741037218193396,4.985041138800865,0.4885415112034489,-0.12900019999999998
0.03897661042339734,0.2974572329426018,8.392101766374559,0.5189535301855721,0.13158604890880088,-0.13133340000000002
0.5,0.3,5.2133833346505885,4.560896520705224,0.1,-0.1333334
0.4999999936934729,0.01,1.0,2.1134392449947277,0.1,-0.1353332
0.010000005478911726,0.3,3.135766739579957,4.17232733563882,0.10000001092070548,-0.1393334
0.01,0.01,6.625978749262732,1.3622544228534526,0.5,-0.1396666
